ID;Domain;TopDomain;cname;ip
1222;gooduep.eu;gooduep.eu;gooduep.eu;67.205.89.201
99040;www.td-europe.eu;td-europe.eu;www.td-europe.eu;85.17.252.83
83831;www.smartmetering.eu;smartmetering.eu;www.smartmetering.eu;85.17.252.83
29643;2008.td-europe.eu;td-europe.eu;2008.td-europe.eu;85.17.252.83
29643;2008.td-europe.eu;td-europe.eu;2008.td-europe.eu;85.17.252.83
97541;www.bnamed.eu;bnamed.eu;www.bnamed.eu;77.73.97.142
23627;www.independent-living-for-elderly.eu;independent-living-for-elderly.eu;www.independent-living-for-elderly.eu;213.68.227.93
63117;www.etp-nanomedicine.eu;etp-nanomedicine.eu;www.etp-nanomedicine.eu;213.68.227.93
78229;www.industrial.norton.eu;norton.eu;industrial.norton.eu;89.107.174.124
36602;motionstamps.eu;motionstamps.eu;motionstamps.eu;69.163.202.64
73680;www.prestoprime.eu;prestoprime.eu;www.prestoprime.eu;195.221.139.26
73680;www.prestoprime.eu;prestoprime.eu;www.prestoprime.eu;195.221.139.26
17011;prestoprime.eu;prestoprime.eu;prestoprime.eu;195.221.139.26
92795;www.dspvalley.eu;dspvalley.eu;sweb3034.isp.belgacom.be.;195.238.1.169
92795;www.dspvalley.eu;dspvalley.eu;sweb3034.isp.belgacom.be.;195.238.1.169
63155;www.expatinsurance.eu;expatinsurance.eu;sweb3034.isp.belgacom.be.;195.238.1.169
63155;www.expatinsurance.eu;expatinsurance.eu;sweb3034.isp.belgacom.be.;195.238.1.169
56890;quena.eu;quena.eu;quena.eu;89.161.194.221
14120;www.quena.eu;quena.eu;quena.eu;89.161.194.221
23137;www.deepbluemedia.eu;deepbluemedia.eu;www.deepbluemedia.eu;77.232.68.50
5484;deepbluemedia.eu;deepbluemedia.eu;deepbluemedia.eu;77.232.68.50
97603;www.campus-service.eu;campus-service.eu;www.campus-service.eu;89.31.143.14
8056;www.caviar-creator.eu;caviar-creator.eu;www.caviar-creator.eu;89.31.143.14
50096;campus-service.eu;campus-service.eu;campus-service.eu;89.31.143.14
19993;bagheria.eu;bagheria.eu;bagheria.eu;89.31.143.14
19993;bagheria.eu;bagheria.eu;bagheria.eu;89.31.143.14
67971;www.each-for.eu;each-for.eu;each-for.eu;87.229.26.24
37939;www.cavalgo.eu;cavalgo.eu;www.cavalgo.eu;94.76.245.28
84519;barcodecreator.eu;barcodecreator.eu;barcodecreator.eu;69.162.78.18
13211;www.electronics-ca.eu;electronics-ca.eu;electronics-ca.eu;216.139.251.113
36634;nce.eu;nce.eu;www.nce.eu;95.174.1.
37025;salsame.eu;salsame.eu;salsame.eu;67.15.255.7
34122;www.salsame.eu;salsame.eu;salsame.eu;67.15.255.7
44277;www.silverlightchallenge.eu;silverlightchallenge.eu;www.silverlightchallenge.eu;217.115.199.16
67549;www.adults-mentoring.eu;adults-mentoring.eu;adults-mentoring.eu;87.126.182.204
79161;www.windplatform.eu;windplatform.eu;www.windplatform.eu;85.199.129.168
72310;windplatform.eu;windplatform.eu;windplatform.eu;85.199.129.168
54445;www.vitalife.eu;vitalife.eu;vitalife.eu;85.17.92.205
43681;www.iwwg.eu;iwwg.eu;iwwg.eu;67.205.42.138
43681;www.iwwg.eu;iwwg.eu;iwwg.eu;67.205.42.138
69661;atari-store.eu;atari-store.eu;atari-store.eu;193.23.227.218
85141;engine-sme.eu;engine-sme.eu;engine-sme.eu;85.199.173.234
62769;www.broad-project.eu;broad-project.eu;www.broad-project.eu;78.24.191.128
9450;www.tomgardner.eu;tomgardner.eu;www.tomgardner.eu;82.165.53.242
2637;tomgardner.eu;tomgardner.eu;tomgardner.eu;82.165.53.242
27939;www.cartoon-media.eu;cartoon-media.eu;cartoon-media.eu;194.1.205.11
31059;ianwallace.eu;ianwallace.eu;ianwallace.eu;208.101.37.152
31059;ianwallace.eu;ianwallace.eu;ianwallace.eu;208.101.37.152
44887;asserversity.eu;asserversity.eu;asserversity.eu;146.50.104.157
73159;www.hma.eu;hma.eu;www.hma.eu;88.198.160.44
19147;www.remiks.eu;remiks.eu;www.remiks.eu;195.56.146.114
65194;cypruswedding.eu;cypruswedding.eu;cypruswedding.eu;193.47.83.194
48962;www.netset.eu;netset.eu;www.netset.eu;85.118.201.103
48962;www.netset.eu;netset.eu;www.netset.eu;85.118.201.103
74714;cable4you.eu;cable4you.eu;cable4you.eu;81.95.96.148
72598;www.cable4you.eu;cable4you.eu;www.cable4you.eu;81.95.96.148
50920;greece-tours.eu;greece-tours.eu;greece-tours.eu;81.95.96.148
35239;davidruiz.eu;davidruiz.eu;davidruiz.eu;82.150.140.23
60370;emotionconcept.eu;emotionconcept.eu;emotionconcept.eu;80.96.217.187
37713;www.allodium.eu;allodium.eu;allodium.eu;78.24.14.43
37713;www.allodium.eu;allodium.eu;allodium.eu;78.24.14.43
50682;foodtime.eu;foodtime.eu;foodtime.eu;78.47.36.116
95590;goveg.eu;goveg.eu;goveg.eu;66.197.196.197
95590;goveg.eu;goveg.eu;goveg.eu;66.197.196.197
70048;crvb.eu;crvb.eu;crvb.eu;195.47.247.105
38033;www.crvb.eu;crvb.eu;www.crvb.eu;195.47.247.105
8162;www.customwebdesign.eu;customwebdesign.eu;www.customwebdesign.eu;91.185.193.181
154377;www.demobase.eu;demobase.eu;demobase.eu;95.154.207.77
154377;www.demobase.eu;demobase.eu;demobase.eu;95.154.207.77
68187;www.freedir.eu;freedir.eu;www.freedir.eu;77.232.80.79
95396;fortdodge.eu;fortdodge.eu;fortdodge.eu;164.109.5.175
82464;www.bluetongue.eu;bluetongue.eu;www.bluetongue.eu;164.109.5.175
60472;europeanarch.eu;europeanarch.eu;europeanarch.eu;216.243.223.58
83879;www.starpoint.eu;starpoint.eu;www.starpoint.eu;64.95.64.197
80362;frg.eu;frg.eu;frg.eu;64.95.64.197
66268;lcm.eu;lcm.eu;lcm.eu;64.95.64.197
59981;c-y.eu;c-y.eu;c-y.eu;64.95.64.197
39922;benchmarking.eu;benchmarking.eu;benchmarking.eu;64.95.64.197
66268;lcm.eu;lcm.eu;lcm.eu;64.95.64.197
20154;briparius.eu;briparius.eu;briparius.eu;88.191.253.197
20154;briparius.eu;briparius.eu;briparius.eu;88.191.253.197
40572;europeanmonthofphotography.eu;europeanmonthofphotography.eu;europeanmonthofphotography.eu;193.46.215.25
82899;www.fishing4sport.eu;fishing4sport.eu;www.fishing4sport.eu;94.126.40.104
50755;frbull.eu;frbull.eu;frbull.eu;82.208.35.165
90069;eclass.eu;eclass.eu;eclass.eu;79.142.32.43
90069;eclass.eu;eclass.eu;eclass.eu;79.142.32.43
2211;qtelnet.eu;qtelnet.eu;qtelnet.eu;216.81.73.64
58262;www.firstforskincare.eu;firstforskincare.eu;www.firstforskincare.eu;64.29.151.221
58262;www.firstforskincare.eu;firstforskincare.eu;www.firstforskincare.eu;64.29.151.221
84380;alanwattsentientsentinel.eu;alanwattsentientsentinel.eu;alanwattsentientsentinel.eu;78.159.108.41
85178;esms-mohs.eu;esms-mohs.eu;esms-mohs.eu;67.15.104.78
68082;www.euroaccommodation.eu;euroaccommodation.eu;www.euroaccommodation.eu;82.165.93.207
67949;www.dreamscience.eu;dreamscience.eu;www.dreamscience.eu;82.165.218.155
67949;www.dreamscience.eu;dreamscience.eu;www.dreamscience.eu;82.165.218.155
76783;shariafinance.eu;shariafinance.eu;shariafinance.eu;80.67.28.101
13675;www.jicsinjoor.eu;jicsinjoor.eu;jicsinjoor.eu;66.206.198.97
6425;jicsinjoor.eu;jicsinjoor.eu;jicsinjoor.eu;66.206.198.97
33104;www.ejnforum.eu;ejnforum.eu;www.ejnforum.eu;77.222.78.13
97389;www.amazing-nature.eu;amazing-nature.eu;webfwd2.je-eigen-domein.nl.;83.149.75.178
97389;www.amazing-nature.eu;amazing-nature.eu;webfwd2.je-eigen-domein.nl.;83.149.75.178
23854;www.logas.eu;logas.eu;logas.eu;75.125.217.210
58712;www.lucertola.eu;lucertola.eu;www.lucertola.eu;212.79.231.207
60179;db-drag.eu;db-drag.eu;db-drag.eu;195.47.247.112
58002;www.db-drag.eu;db-drag.eu;www.db-drag.eu;195.47.247.112
64940;blog.waterskidisabled.eu;waterskidisabled.eu;blog.waterskidisabled.eu;195.47.247.112
8067;www.celluloseethers.eu;celluloseethers.eu;www.celluloseethers.eu;213.246.199.218
79801;consumerit.eu;consumerit.eu;consumerit.eu;67.15.245.20
29732;airconditioninghire.eu;airconditioninghire.eu;airconditioninghire.eu;92.48.125.141
29732;airconditioninghire.eu;airconditioninghire.eu;airconditioninghire.eu;92.48.125.141
70024;cookex.eu;cookex.eu;cookex.eu;81.169.145.85
18080;www.cookex.eu;cookex.eu;cookex.eu;81.169.145.85
70024;cookex.eu;cookex.eu;cookex.eu;81.169.145.85
34806;aspe-uk.eu;aspe-uk.eu;aspe-uk.eu;213.212.74.245
63151;www.ewoutvandenblink.eu;ewoutvandenblink.eu;www.ewoutvandenblink.eu;81.169.145.74
38854;www.miaznidaric.eu;miaznidaric.eu;www.miaznidaric.eu;81.169.145.74
35580;ewoutvandenblink.eu;ewoutvandenblink.eu;ewoutvandenblink.eu;81.169.145.74
80286;fossil.blogje.eu;blogje.eu;shopje.com.;85.12.15.42
79119;www.wacom.eu;wacom.eu;www.wacom.eu;195.225.133.163
50535;eu.shop.wacom.eu;wacom.eu;eu.shop.wacom.eu;85.158.183.229
50535;eu.shop.wacom.eu;wacom.eu;eu.shop.wacom.eu;85.158.183.229
25788;forum.wacom.eu;wacom.eu;forum.wacom.eu;195.225.134.140
72777;www.drcsummerschool.eu;drcsummerschool.eu;drcsummerschool.eu;94.125.251.48
87498;www.bioaxis.eu;bioaxis.eu;www.bioaxis.eu;188.121.46.1
48276;www.esprit.risk-technologies.eu;risk-technologies.eu;www.esprit.risk-technologies.eu;195.137.212.18
32957;www.cssc.eu;cssc.eu;www.cssc.eu;62.149.130.147
53686;www.kayakalpyoga.eu;kayakalpyoga.eu;kayakalpyoga.eu;195.228.45.53
77900;www.euroshoping.eu;euroshoping.eu;euroshoping.eu;95.211.86.161
50209;coopers-ip.eu;coopers-ip.eu;coopers-ip.eu;86.59.34.194
53018;www.crocs.eu;crocs.eu;www.crocs.eu;204.93.138.172
97532;www.biotecpharmacon.eu;biotecpharmacon.eu;www.biotecpharmacon.eu;80.239.119.101
43979;www.networkstreetart.eu;networkstreetart.eu;networkstreetart.eu;82.208.10.194
96796;shetz.wypas.eu;wypas.eu;shetz.wypas.eu;188.40.95.130
92053;thorn.wypas.eu;wypas.eu;thorn.wypas.eu;188.40.95.130
91794;shavenis.wypas.eu;wypas.eu;shavenis.wypas.eu;188.40.95.130
84806;cm_progressive.wypas.eu;wypas.eu;cm_progressive.wypas.eu;188.40.95.130
67065;sm_aescyl.wypas.eu;wypas.eu;sm_aescyl.wypas.eu;188.40.95.130
55388;eastwest_killer.wypas.eu;wypas.eu;eastwest_killer.wypas.eu;188.40.95.130
55388;eastwest_killer.wypas.eu;wypas.eu;eastwest_killer.wypas.eu;188.40.95.130
50339;divide.wypas.eu;wypas.eu;divide.wypas.eu;188.40.95.130
50339;divide.wypas.eu;wypas.eu;divide.wypas.eu;188.40.95.130
45353;david.wypas.eu;wypas.eu;david.wypas.eu;188.40.95.130
71121;lewy_bdg.wypas.eu;wypas.eu;lewy_bdg.wypas.eu;188.40.95.130
47619;water_pipe.wypas.eu;wypas.eu;water_pipe.wypas.eu;188.40.95.130
41518;mazi_de_lord.wypas.eu;wypas.eu;mazi_de_lord.wypas.eu;188.40.95.130
907;europeanhomesitting.echs.eu;echs.eu;europeanhomesitting.echs.eu;68.178.254.107
15674;europeanhomeshare.echs.eu;echs.eu;europeanhomeshare.echs.eu;68.178.254.107
32600;www.5m.eu;5m.eu;whx.o2hosting.cz.;194.228.110.125
58336;www.gecekondu.eu;gecekondu.eu;www.gecekondu.eu;74.117.116.68
445;candleacademy.eu;candleacademy.eu;candleacademy.eu;89.255.8.118
37169;slantour.eu;slantour.eu;slantour.eu;87.236.197.219
30599;europe-movers.eu;europe-movers.eu;europe-movers.eu;84.244.179.99
1414;international-movers.eu;international-movers.eu;international-movers.eu;84.244.179.99
65468;epta.eu;epta.eu;epta.eu;91.198.2.162
65468;epta.eu;epta.eu;epta.eu;91.198.2.162
43282;www.eucid.eu;eucid.eu;www.eucid.eu;83.98.136.187
50654;firstcare.eu;firstcare.eu;firstcare.eu;217.69.43.133
48383;www.firstcare.eu;firstcare.eu;www.firstcare.eu;217.69.43.133
42446;trw-automotive.eu;trw-automotive.eu;trw-automotive.eu;216.34.191.69
68259;www.graffart.eu;graffart.eu;www.graffart.eu;87.120.40.131
18940;www.musicrightsonline.eu;musicrightsonline.eu;www.musicrightsonline.eu;94.228.37.233
79339;agriextra.eu;agriextra.eu;agriextra.eu;81.21.78.57
79339;agriextra.eu;agriextra.eu;agriextra.eu;81.21.78.57
79339;agriextra.eu;agriextra.eu;agriextra.eu;81.21.78.57
40752;freedomnotfear.eu;freedomnotfear.eu;freedomnotfear.eu;91.184.57.204
35796;fundetec.eu;fundetec.eu;fundetec.eu;91.184.57.204
35567;europeanreferendum.eu;europeanreferendum.eu;europeanreferendum.eu;91.184.57.204
79391;animals-in-distress.eu;animals-in-distress.eu;animals-in-distress.eu;213.171.218.134
77367;www.animals-in-distress.eu;animals-in-distress.eu;www.animals-in-distress.eu;213.171.218.134
25588;endonetwork.eu;endonetwork.eu;endonetwork.eu;213.171.218.168
87893;www.europeandancecompany.eu;europeandancecompany.eu;europeandancecompany.eu;72.167.122.132
77529;www.bridges-lac.eu;bridges-lac.eu;bridges-lac.eu;75.125.60.9
39019;www.powertraininglife.eu;powertraininglife.eu;powertraininglife.eu;77.78.110.46
43403;www.freeseotools.eu;freeseotools.eu;freeseotools.eu;151.1.160.220
35778;freeseotools.eu;freeseotools.eu;freeseotools.eu;151.1.160.220
43403;www.freeseotools.eu;freeseotools.eu;freeseotools.eu;151.1.160.220
35262;dear.eu;dear.eu;dear.eu;216.67.232.70
22883;www.atzenicarlo.eu;atzenicarlo.eu;www.atzenicarlo.eu;216.67.232.70
13121;www.dimitriou.eu;dimitriou.eu;www.dimitriou.eu;216.67.232.70
90579;hayle.eu;hayle.eu;hayle.eu;82.165.118.247
90579;hayle.eu;hayle.eu;hayle.eu;82.165.118.247
95318;factiva.eu;factiva.eu;factiva.eu;205.203.135.92
80184;exampleuser.french.eurocv.eu;eurocv.eu;exampleuser.french.eurocv.eu;89.186.92.222
76265;mturillo.eurocv.eu;eurocv.eu;mturillo.eurocv.eu;89.186.92.222
40500;enkaytranslation.eurocv.eu;eurocv.eu;stoyva.eurocv.eu;89.186.92.222
2006;oriancuko.eurocv.eu;eurocv.eu;oriancuko.eurocv.eu;89.186.92.222
17840;www.asecaira.eurocv.eu;eurocv.eu;www.asecaira.eurocv.eu;89.186.92.222
12060;sandbox.eurocv.eu;eurocv.eu;sandbox.eurocv.eu;89.186.92.222
62430;vitaju.eurocv.eu;eurocv.eu;vitaju.eurocv.eu;89.186.92.222
42687;www.2442.eurocv.eu;eurocv.eu;www.2442.eurocv.eu;89.186.92.222
19202;www.sandbox.eurocv.eu;eurocv.eu;www.sandbox.eurocv.eu;89.186.92.222
17840;www.asecaira.eurocv.eu;eurocv.eu;www.asecaira.eurocv.eu;89.186.92.222
1443;istranka.eurocv.eu;eurocv.eu;istranka.eurocv.eu;89.186.92.222
98449;www.lexipation.eu;lexipation.eu;conan.altec.gr.;195.97.91.222
98449;www.lexipation.eu;lexipation.eu;conan.altec.gr.;195.97.91.222
73543;www.nitroeurope.eu;nitroeurope.eu;www.nitroeurope.eu;192.171.136.19
73543;www.nitroeurope.eu;nitroeurope.eu;www.nitroeurope.eu;192.171.136.19
81141;mediteraneo.eu;mediteraneo.eu;mediteraneo.eu;77.232.68.147
9792;abcproject.eu;abcproject.eu;abcproject.eu;79.96.18.135
49864;avnet-embedded.eu;avnet-embedded.eu;avnet-embedded.eu;193.34.102.161
5054;avnet-logistics.eu;avnet-logistics.eu;avnet-logistics.eu;193.34.102.161
90825;jean-michel.eu;jean-michel.eu;jean-michel.eu;206.223.169.75
90825;jean-michel.eu;jean-michel.eu;jean-michel.eu;206.223.169.75
42734;www.almedauniversity.eu;almedauniversity.eu;www.almedauniversity.eu;72.55.164.169
39987;blog.centralhost.eu;centralhost.eu;blog.centralhost.eu;209.237.247.41
35503;epip.eu;epip.eu;epip.eu;137.120.84.253
35503;epip.eu;epip.eu;epip.eu;137.120.84.253
3416;www.epip.eu;epip.eu;www.epip.eu;137.120.84.253
55241;cruisingtips.eu;cruisingtips.eu;cruisingtips.eu;74.63.11.92
75742;in3d.eu;in3d.eu;in3d.eu;76.162.144.228
75742;in3d.eu;in3d.eu;in3d.eu;76.162.144.228
55515;equipoise.eu;equipoise.eu;equipoise.eu;82.165.57.161
13301;www.europeansaffron.eu;europeansaffron.eu;www.europeansaffron.eu;212.95.207.73
57920;www.cheap-laptops.eu;cheap-laptops.eu;www.cheap-laptops.eu;79.170.40.34
69952;chicagoillinois.eu;chicagoillinois.eu;chicagoillinois.eu;67.210.105.68
48004;www.chicagoillinois.eu;chicagoillinois.eu;chicagoillinois.eu;67.210.105.68
15352;damff.eu;damff.eu;damff.eu;85.114.137.89
15352;damff.eu;damff.eu;damff.eu;85.114.137.89
77877;www.eurolineltd.eu;eurolineltd.eu;eurolineltd.eu;70.84.108.84
20651;eurolineltd.eu;eurolineltd.eu;eurolineltd.eu;70.84.108.84
77877;www.eurolineltd.eu;eurolineltd.eu;eurolineltd.eu;70.84.108.84
60718;gemcot.eu;gemcot.eu;gemcot.eu;82.208.46.115
63403;www.huntingservice.eu;huntingservice.eu;hosting.huntingservice.eu;81.198.180.11
49462;www.urbact.eu;urbact.eu;urbact.eu;62.93.225.96
42486;urbact.eu;urbact.eu;urbact.eu;62.93.225.96
49462;www.urbact.eu;urbact.eu;urbact.eu;62.93.225.96
39040;www.prokuraturos.eu;prokuraturos.eu;denver.infolex.lt.;195.182.67.226
88798;www.samedayloans.eu;samedayloans.eu;samedayloans.eu;67.228.244.194
33073;www.ecas-citizens.eu;ecas-citizens.eu;www.ecas-citizens.eu;193.189.135.23
